,Hybrid Sort,Time Complexity
2,1,98
3,2,148.2451125
4,4,200
5,8,253.3903595
6,10,304.4217936
7,15,357.6967497
8,19,409.9834201
9,23,462.1827326
10,28,514.8542683
11,35,568.3683654
12,40,620.8435871
13,50,675.2644141
14,56,728
15,64,781.3966411
16,69,833.7363913
17,79,887.6774044
18,87,940.9143329
19,100,995.5226449
20,109,1048.925125
21,119,1102.552507
22,131,1156.62781
23,150,1212.220905
24,163,1266.330376
25,169,1318.925581
26,182,1372.991228
27,193,1426.614377
28,221,1483.455334
29,230,1536.637763
30,251,1591.939589
31,257,1644.594275
32,276,1699.472783
33,295,1754.285842
34,316,1809.354809
35,335,1864.055699
36,346,1917.529316
37,364,1972.038627
38,384,2026.80733
39,409,2082.231638
40,439,2138.245961
41,451,2191.836696
42,448,2243.431575
43,496,2301.701057
44,515,2356.155868
45,550,2412.514562
46,552,2464.908275
47,582,2520.623465
48,603,2575.250481
49,625,2629.977124
50,661,2686.232514
51,401,2701.726687
52,419,2756.539069
53,432,2810.429254
54,451,2865.353191
55,463,2919.042977
56,473,2972.387121
57,497,3028.080086
58,512,3082.237102
59,532,3137.185724
60,549,3191.626305
61,564,3245.737655
62,568,3298.12415
63,609,3356.200165
64,619,3409.522918
65,633,3463.440102
66,657,3518.813459
67,664,3571.699666
68,677,3625.457344
69,699,3680.503069
70,728,3736.495814
71,741,3790.234366
72,756,3844.246854
73,773,3898.528503
74,808,3955.208101
75,805,4006.801971
76,838,4063.178798
77,868,4119.096881
78,895,4174.586649
79,918,4229.546998
80,927,4282.759795
81,950,4337.70663
82,965,4391.660316
83,1001,4448.151507
84,1023,4502.926933
85,1048,4558.042726
86,1049,4610.333942
87,1060,4663.80074
88,1103,4721.00512
89,1148,4778.336441
90,1151,4830.913712
91,1178,4886.183956
92,1205,4941.435504
93,1212,4994.473411
94,1244,5050.2611
95,1266,5104.939578
96,1306,5161.533761
97,1314,5214.704162
98,1373,5273.223794
99,1401,5328.465577
100,1395,5380.219322
101,1120,5400.578225
102,910,5422.044334
103,932,5477.301619
104,953,5532.372839
105,939,5581.877262
106,960,5636.970835
107,966,5689.662126
108,1012,5748.635456
109,1023,5802.114265
110,1044,5857.120091
111,1041,5908.456572
112,1058,5962.854127
113,1082,6018.301558
114,1093,6071.775395
115,1132,6129.404342
116,1130,6180.958623
117,1150,6235.755251
118,1187,6292.994418
119,1185,6344.586576
120,1210,6400.068088
121,1222,6453.676005
122,1250,6509.550955
123,1259,6562.732412
124,1263,6615.206884
125,1294,6671.479702
126,1306,6725.081067
127,1323,6779.375908
128,1334,6832.837498
129,1378,6890.810146
130,1386,6943.864685
131,1411,6999.209385
132,1429,7053.604283
133,1444,7107.596155
134,1477,7163.956899
135,1505,7219.628844
136,1513,7272.699747
137,1554,7330.012203
138,1528,7378.708803
139,1599,7439.837828
140,1559,7486.797107
141,1580,7541.548206
142,1620,7598.708399
143,1624,7651.281435
144,1632,7704.360049
145,1676,7761.980115
146,1701,7817.182059
147,1726,7872.371027
148,1734,7925.464353
149,1767,7981.619753
150,1789,8036.417847
