,Merge Sort,Hybrid Sort
1.00E+07,2231.6,1659.566667
1.01E+07,2489.533333,1677.033333
1.01E+07,2450.733333,1749.233333
1.02E+07,2639.766667,1565.3
1.02E+07,2169.833333,1553.333333
1.03E+07,2534.766667,1526.633333
1.03E+07,2524.766667,1784.366667
1.04E+07,2333.933333,1523.233333
1.04E+07,2276.733333,1757.933333
1.05E+07,3097.3,2288.133333
1.05E+07,3746.833333,2691.8
1.06E+07,4361.133333,2765.833333
1.06E+07,4659.7,2852.8
1.07E+07,4448.533333,3102.466667
1.07E+07,4381.833333,2973.033333
1.08E+07,4853.566667,3310
1.08E+07,4613.8,2736.766667
