Size,Merge Sort,Hybrid Sort
9.90E+06,1962.766667,1387.833333
9.91E+06,2043.8,1343.466667
9.92E+06,2002.2,1392.966667
9.93E+06,2072.066667,1340.833333
9.94E+06,2242.933333,1668.933333
9.95E+06,2499.933333,1640
9.96E+06,2463.633333,1670.733333
9.97E+06,2442.233333,1693.3
9.98E+06,2534.5,1690.7
9.99E+06,2612.166667,1696.933333
1.00E+07,2592.433333,1692.9
1.00E+07,2518.4,1668.033333
1.00E+07,2582.833333,1668.066667
1.00E+07,2502.4,1694.2
1.00E+07,2662,1724.566667
1.01E+07,2497.066667,1496.1
1.01E+07,2219.633333,1506.533333
1.01E+07,2145.2,1463.866667
1.01E+07,2125.933333,1622.766667
1.01E+07,1968.7,1365.166667
1.01E+07,1990.333333,1361.533333
1.01E+07,1978.566667,1385.9
1.01E+07,1974.366667,1356.2
1.01E+07,1975.833333,1404.166667
1.01E+07,2003.9,1411.3
