size, InsertSort Avg. Time (ns), MergeSort Avg. Time (ns)
1,  29, 29
2,  32, 44
3,  41, 69
4,  59, 97
5,  78, 137
6,  96, 179
7,  125, 222
8,  161, 278
9,  193, 338
10,  229, 381
11,  260, 421
12,  300, 472
13,  343, 519
14,  362, 543
15,  424, 610
16,  470, 656
17,  543, 760
18,  632, 864
19,  675, 908
20,  735, 939
21,  811, 1036
22,  854, 1058
23,  913, 1109
24,  994, 1166
25,  1029, 1198
26,  1060, 1201
27,  1126, 1254
28,  1312, 1403
29,  1410, 1478
30,  1448, 1486
31,  1535, 1543
32,  1555, 1513
33,  1619, 1575
34,  1702, 1668
35,  1845, 1767
36,  1915, 1760
37,  2135, 1978
38,  2134, 1963
39,  2231, 1994
40,  2470, 2164
41,  2478, 2161
42,  2566, 2193
43,  2697, 2264
44,  2795, 2301
45,  2892, 2359
46,  3035, 2436
47,  3225, 2550
48,  3304, 2528
49,  3368, 2573
50,  3492, 2647
51,  3621, 2716
52,  3754, 2738
53,  3944, 2877
54,  4203, 2980
